preCount,fCount,sCount,temperature,weatherType,wind,humidity,barometer,visibility,crash,crime,parkEvent,count
0.0, 0.0, 0.0, 2.0, 5.0, 10.0, 0.89, 30.0, 16.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 0.0, 2.0, 5.0, 10.0, 0.89, 30.0, 16.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 0.0, 2.0, 5.0, 10.0, 0.89, 30.0, 16.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 6.0, 2.0, 5.0, 10.0, 0.89, 30.0, 16.0, 0.0, 0.0, 0.0, 0.0
0.0, 3.0, 0.0, 2.0, 5.0, 10.0, 0.89, 30.0, 16.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 9.0, 2.0, 5.0, 10.0, 0.89, 30.0, 16.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 0.0, 2.0, 5.0, 10.0, 0.89, 30.0, 16.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 0.0, 2.0, 5.0, 13.0, 0.85, 30.06, 16.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 0.0, 2.0, 5.0, 13.0, 0.85, 30.06, 16.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 0.0, 2.0, 5.0, 13.0, 0.85, 30.06, 16.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 0.0, 2.0, 5.0, 13.0, 0.85, 30.06, 16.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 0.0, 2.0, 5.0, 13.0, 0.85, 30.06, 16.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 0.0, 2.0, 5.0, 9.0, 0.88, 30.1, 13.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 0.0, 2.0, 5.0, 9.0, 0.88, 30.1, 13.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 0.0, 2.0, 5.0, 9.0, 0.88, 30.1, 13.0, 0.0, 0.0, 0.0, 0.0
0.0, 3.0, 0.0, 2.0, 5.0, 9.0, 0.88, 30.1, 13.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 0.0, 2.0, 5.0, 9.0, 0.88, 30.1, 13.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 0.0, 1.0, 3.0, 10.0, 0.88, 30.14, 11.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 0.0, 1.0, 3.0, 10.0, 0.88, 30.14, 11.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 0.0, 1.0, 3.0, 10.0, 0.88, 30.12, 11.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 0.0, 1.0, 3.0, 10.0, 0.88, 30.12, 11.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 0.0, 1.0, 3.0, 10.0, 0.88, 30.12, 11.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 0.0, 1.0, 3.0, 10.0, 0.88, 30.12, 11.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 0.0, 1.0, 3.0, 7.0, 0.92, 30.16, 8.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 0.0, 1.0, 3.0, 7.0, 0.92, 30.16, 8.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 0.0, 1.0, 3.0, 7.0, 0.92, 30.16, 8.0, 0.0, 0.0, 0.0, 0.0
0.0, 2.0, 0.0, 1.0, 3.0, 7.0, 0.92, 30.16, 8.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 0.0, 1.0, 3.0, 7.0, 0.92, 30.16, 8.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 0.0, 1.0, 3.0, 7.0, 0.92, 30.16, 8.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 20.0, 0.0, 3.0, 12.0, 0.88, 30.2, 8.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 0.0, 0.0, 3.0, 12.0, 0.88, 30.2, 8.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 6.0, 0.0, 3.0, 12.0, 0.88, 30.2, 8.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 16.0, 0.0, 3.0, 12.0, 0.88, 30.2, 8.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 7.0, 0.0, 3.0, 12.0, 0.88, 30.2, 8.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 18.0, 0.0, 3.0, 12.0, 0.88, 30.2, 8.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 0.0, -1.0, 7.0, 15.0, 0.85, 30.25, 10.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 0.0, -1.0, 5.0, 15.0, 0.82, 30.23, 11.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 0.0, -1.0, 5.0, 15.0, 0.82, 30.23, 11.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 24.0, -1.0, 5.0, 15.0, 0.82, 30.23, 11.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 19.0, -1.0, 5.0, 15.0, 0.82, 30.23, 11.0, 0.0, 0.0, 0.0, 0.0
0.0, 5.0, 45.0, -1.0, 5.0, 12.0, 0.82, 30.27, 16.0, 0.0, 0.0, 0.0, 0.0
0.0, 5.0, 22.0, -1.0, 5.0, 12.0, 0.82, 30.27, 16.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 33.0, -1.0, 5.0, 12.0, 0.82, 30.27, 16.0, 0.0, 0.0, 0.0, 0.0
0.0, 12.0, 11.0, -1.0, 5.0, 12.0, 0.82, 30.27, 16.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 21.0, -1.0, 5.0, 12.0, 0.82, 30.27, 16.0, 0.0, 0.0, 0.0, 0.0
0.0, 13.0, 26.0, -1.0, 5.0, 12.0, 0.82, 30.27, 16.0, 0.0, 0.0, 0.0, 0.0
0.0, 2.0, 12.0, -1.0, 5.0, 9.0, 0.85, 30.3, 16.0, 0.0, 0.0, 0.0, 0.0
0.0, 8.0, 30.0, -1.0, 5.0, 9.0, 0.85, 30.3, 16.0, 0.0, 0.0, 0.0, 0.0
0.0, 9.0, 11.0, -1.0, 5.0, 9.0, 0.85, 30.3, 16.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 45.0, -1.0, 5.0, 9.0, 0.85, 30.3, 16.0, 0.0, 0.0, 0.0, 0.0
0.0, 12.0, 2.0, -1.0, 5.0, 9.0, 0.85, 30.3, 16.0, 0.0, 0.0, 0.0, 0.0
0.0, 15.0, 6.0, -1.0, 3.0, 9.0, 0.85, 30.32, 11.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 25.0, -1.0, 3.0, 9.0, 0.85, 30.32, 11.0, 0.0, 0.0, 0.0, 0.0
0.0, 13.0, 14.0, -1.0, 3.0, 9.0, 0.85, 30.32, 11.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 13.0, -1.0, 3.0, 9.0, 0.85, 30.32, 11.0, 0.0, 0.0, 0.0, 0.0
0.0, 6.0, 13.0, -1.0, 3.0, 9.0, 0.85, 30.32, 11.0, 0.0, 0.0, 0.0, 0.0
0.0, 11.0, 42.0, -1.0, 3.0, 9.0, 0.85, 30.32, 11.0, 0.0, 0.0, 0.0, 0.0
0.0, 12.0, 26.0, -1.0, 3.0, 9.0, 0.89, 30.32, 10.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 27.0, -1.0, 3.0, 9.0, 0.89, 30.32, 10.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 22.0, -1.0, 3.0, 9.0, 0.89, 30.32, 10.0, 0.0, 0.0, 0.0, 0.0
0.0, 12.0, 20.0, -1.0, 3.0, 9.0, 0.89, 30.32, 10.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 37.0, -1.0, 3.0, 9.0, 0.89, 30.32, 10.0, 0.0, 0.0, 0.0, 0.0
0.0, 15.0, 10.0, -1.0, 3.0, 9.0, 0.89, 30.32, 10.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 20.0, -1.0, 3.0, 12.0, 0.89, 30.32, 11.0, 0.0, 0.0, 0.0, 0.0
0.0, 2.0, 0.0, -1.0, 3.0, 12.0, 0.89, 30.32, 11.0, 0.0, 0.0, 0.0, 0.0
0.0, 14.0, 21.0, -1.0, 3.0, 12.0, 0.89, 30.32, 11.0, 0.0, 0.0, 0.0, 0.0
0.0, 6.0, 0.0, -1.0, 3.0, 12.0, 0.89, 30.32, 11.0, 0.0, 0.0, 0.0, 0.0
0.0, 8.0, 22.0, -1.0, 3.0, 12.0, 0.89, 30.32, 11.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 19.0, -1.0, 3.0, 12.0, 0.89, 30.32, 11.0, 0.0, 0.0, 0.0, 0.0
0.0, 17.0, 6.0, -1.0, 3.0, 10.0, 0.85, 30.32, 13.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 17.0, -1.0, 3.0, 10.0, 0.85, 30.32, 13.0, 0.0, 0.0, 0.0, 0.0
0.0, 13.0, 0.0, -1.0, 3.0, 10.0, 0.85, 30.32, 13.0, 0.0, 0.0, 0.0, 0.0
0.0, 14.0, 13.0, -1.0, 3.0, 10.0, 0.85, 30.32, 13.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 25.0, -1.0, 3.0, 10.0, 0.85, 30.32, 13.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 13.0, -1.0, 3.0, 10.0, 0.85, 30.32, 13.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 22.0, -2.0, 3.0, 8.0, 0.85, 30.32, 11.0, 0.0, 0.0, 0.0, 0.0
0.0, 4.0, 0.0, -2.0, 3.0, 8.0, 0.85, 30.32, 11.0, 0.0, 0.0, 0.0, 0.0
0.0, 13.0, 24.0, -2.0, 3.0, 8.0, 0.85, 30.32, 11.0, 0.0, 0.0, 0.0, 0.0
0.0, 11.0, 17.0, -2.0, 3.0, 8.0, 0.85, 30.32, 11.0, 0.0, 0.0, 0.0, 0.0
0.0, 2.0, 31.0, -2.0, 3.0, 8.0, 0.85, 30.32, 11.0, 0.0, 0.0, 0.0, 0.0
